,Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text,word_counts
627,628,Flipkart Customer,0,1,Does the job,1,Camera is ok type video is everage camera problem is colour because colour is dull and looks like a 15k mobile otherwise details good skin tone also good main problem is colour.Performance is good but not great. I'm using realme 3 pro and now one plus 11r and bgmi speed test both are similar 😂Display and Design premiumBattery is great. And 0-100% charge in 25 min Ui is colour os literally same.,614
244,245,Flipkart Customer,1,0,Pretty good,1,I use already one plus product it's verry good device in Android phone one plus is best quality and very good product my experience with one plus it's good .....,252
1225,1226,Flipkart Customer,0,0,Wonderful,1,Performance camera is good but battery average under 30000 best phone oneplus Nord 3.,128
1286,1287,Satyabrata Chakraborty,0,0,Hated it!,0,Battery is very poor.,34
167,168,Prem Chaudhari,95,66,Great product,1,Wonderful product 😊.,30
293,294,Vaibhav Pandey,1,0,Wonderful,1,One of the best smart phone I have ever used. OnePlus you beauty😍.Best Battery performanceBest camera qualityFine display.Simply love it.,198
1167,1168,Ghulam  Rabbani ,0,0,Worth every penny,1,Value for money.,26
824,825,Flipkart Customer,0,0,Terrific purchase,1,Camera is good and battery is not good display is good over all experience is good software latest update is available this is good.,205
7,8,Dilleswar Rayala,207,59,Just okay,1,"The camera side is super ok but battery performance is very bad im charging this mobile twice daily,mobile heating is one oth major problem in this mobile you can't bear that heat due to back side glass,if you use glash its also get heated within a few minutes,design is ok,touch screen is very much adaptive,display is also good.if samsung overcome these above issues then it will be the best phone for ever otherwise its waste of money as per my opinion..",701
864,865,Imran  Farooqui,0,0,Great product,1,It's very awesome and fantastic and very much for good for me.,99
364,365,Neetu  Sharma,0,0,Classy product,1,Good.,9
653,654,Nitin  Mundhe ,0,0,Must buy!,1,I'm Satisfied with This Phone.,46
758,759,Sumit Kumar,2,0,Worth every penny,1,Good mobile but design not premium as per this price rangeOver all good mobile with All functions that everyone wantsCamara goodPerformance goodBattery averageScreen goodLight weight good.,267
1408,1409,Flipkart Customer,0,0,Terrific,1,Great product by one plus and fast service by Flipkart?? 5*.,94
951,952,Dhanunjaya Ketha,3,3,Expected a better product,0,worst battery and has heating issue. only 3hrs SOT while browsing and video playback.,128
213,214,Bubul Chowdhury,2,0,Must buy!,1,"Nice product but during activation of some important financial apps keyboard isn't working after receiving OTPs that's a tremendous drawback wasn't able to activate those apps OnePlus please look into it. Thanks. Display, audio, video, fluidity just excellent, surprised to see the mobile cool after using for straight couple of hours..",490
1321,1322,IMRAN MOHAMMED,0,0,Nice product,1,1plus nord3 awesome. video quality vgood.performance is ??????.one problam overheating.otherwise ......??? very good product.,168
1311,1312,Rananjay Kumar  Sinha,0,0,Awesome,1,I liked the product.. it's good one.,58
152,153,Neha Chavan,8,0,Pretty good,1,"Awsmn Phone , loved it  .only problem is battery drains faster..",97
445,446,Kaif Ansari,0,0,Terrific purchase,1,Very nice.,17
595,596,Mohammed  Ali,0,0,Wonderful,1,Nice performance 👍.,29
267,268,Nik  kalra,1,0,Mind-blowing purchase,1,Amazing phone. Camera quality is good..,58
1009,1010,Brijesh Ahuja,0,0,Terrific,1,Superb Phone.Special Thanks to Flipkart and the seller for one day on timely delivered the phone ..,151
1011,1012,Rushi Halkude,0,0,Worth every penny,1,Best product.,20
840,841,adarsh singh,1,0,Worth every penny,1,Very good phone under 25k.,42
40,41,Ali Shiraz,2,0,Mind-blowing purchase,1,Best phone in this price range.,50
522,523,Mithun Chavan,0,0,Terrific purchase,1,Best phone on this segment.,43
1086,1087,Abhishek Kumar,0,0,Mind-blowing purchase,1,Nice phone.,18
789,790,Nayan Jyoti  Kurmi,0,0,Wonderful,1,Mobile is good but battery drained very fast.,70
550,551,Millan Mohanty,0,0,Terrific purchase,1,Good.,9
534,535,BISWAGURU PANDA,0,0,Terrific,1,"This gadget is really good.so smooth experiance.Good network connectivity, camera is awesome. Display is gorgeous.Its has many more features and software is excellent.Go for it..",254
1368,1369,Roopesh  Meena ,0,0,Wonderful,1,Good.,9
1191,1192,Srikanth  K,0,0,Classy product,1,Good purchase.,21
311,312,Prince Kumar,1,1,Awesome,1,"I'm gonna to write down my review after using this one for 30days 1. It has top level of screen with curved display so if you think about phone display it couldn't disappoint you..2. Battery draining fast not very fast so it is too good 3. camera getting the next level of hight at this price segment4. Performance is also good 5. Connectivity is good but some time I've seen partial glitch with 5g comparatively OnePlus 8t6. Video recording experience is very good with main camera, gaming ....",760
545,546,Ranjeet Singh,0,0,Good choice,1,Very good product best good budget range.,63
96,97,Subham  Subudhi ,1,0,Fabulous!,1,This device has been supreem quality of pictures he captured and design look so amazing and premium 😍 but battery is not so much good but when you use thae phone smooth then the battery is supper and i feels that is little bit heated but not too much and it's AI is supper.,436
850,851,kailash jena,1,0,Classy product,1,Very good ????.,25
540,541,Vinay Salapu,0,0,Classy product,1,Very good mobile from OnePlus..,47
472,473,NIRANKAR VERMA,0,0,Best in the market!,1,Very nice.,17
687,688,Pushkar  Gurjar,7,0,Worth every penny,1,Good and I am fully satisfied.,49
966,967,Jitendra  Chouhan,0,1,Nice product,1,"UI experience is very good thanks to 1+ light weight touch is too smooth, Overall nice product..",148
121,122,Flipkart Customer,0,0,Really Nice,1,If you doesn't care about performance and battery life than this is good for you.,127
553,554,Anu Rio,0,0,Delightful,1,Good.,9
20,21,Akash jaiswal,5,0,Really Nice,1,Everything is okay but there is heating issue with this phone.,96
939,940,akash abi,0,0,Terrific purchase,1,Fast delivery and product is wonderful.,58
265,266,Mousumi  Dutta ,1,0,Great product,1,Wow Phone.,17
122,123,Vrushant Verma,4,1,Super!,1,Overall worthy the price.,38
1205,1206,Gaurav  Kumar,0,0,Value-for-money,1,It's fine.,17
847,848,Pangothu javindar  Javindar,1,0,Great product,1,Overall good but iam not recommended for pubg game play   full lagg  issues.,113
1053,1054,Tapan Roy,0,0,Pretty good,1,Nice mobile.,19
269,270,Harsh  Kumar ,1,0,Great product,1,Awesome phone 📱😊😊.,28
1020,1021,Hitangshu Chakraborty,0,0,Pretty good,1,Nice product it's really worth it under 24k.,69
156,157,Bhabani sankar Patra,57,17,Awesome,1,"Nice camera ,front camera is so good but slow charging not like that 100 watt super vook charging speed, curved display is looks beautiful...Performance is as well as 8th generation flagship level phone...Overally it's a good smartphone...But price is so high....",387
281,282,Nikhil Manhas,1,0,Good quality product,1,Product is good but in night there is so much light from screen   and also some websites not working properly so i use another phone to open that particular site.,251
1208,1209,ASRAF ALI FATMI ,0,0,Does the job,1,"Not bad,!.",17
742,743,Flipkart Customer,3,0,Decent product,1,"This phone is very good.But i am giving it 3 stars because of its battery.I am not satisfied with the battery.I also downloaded some updates but it didn't improve the battery performance.I hope OnePlus will optimise the battery usage in future updates.Other than battery, the phone is good.It heats but it is not a big issue for me.If you are getting this in 20k something, you can definitely buy this if battery is not a big issue for you because this phone comes with 80w fast charger and....",759
1029,1030,Raj Kumar,0,0,Best in the market!,1,Nice phone best experience ??.,46
1128,1129,Ashish kumar Meena,0,0,Worth every penny,1,Good product.,20
343,344,Veenu Sinha,0,0,Super!,1,Good.,9
965,966,Sachin Das,0,0,Awesome,1,Oneplus my first choice.,37
1222,1223,Rahul  Kumar,0,0,Must buy!,1,I like it.,20
14,15,BALA SAI KRISHNA  BOGGAVARAPU ,16,8,Really Nice,1,Good but Battery was not that much satisfactory.,73
289,290,Anoop Kumar,1,0,Pretty good,1,Front camera is awesome.  Little bit disappointed with main rear camera. Battery back up is good. Charging is very satisfying as charges in 10mins.Also disappointed that no security like Knox by Samsung.  Health app seriously need to be on par like Samsung..,383
208,209,Paramveer Singh,2,0,Excellent,1,This budgies pic i captured from this oneplus 11r and not even on image but if you guys check it from your naked eyes the picture quality is too good.,241
984,985,Manjunath Mattur,0,0,Wonderful,1,Nice product very good camera.phone performance ok.,73
1317,1318,afroz  Ahmed,0,0,Great product,1,Excellent phone.,23
995,996,Hussain Raju,1,0,Expected a better product,0,Battery draining is too fast and I'm facing overheating problem.,95
323,324,champalal b suthar,0,0,Perfect product!,1,Design 👎.,16
1082,1083,Bikram Biswas,0,0,Delightful,1,Super ???? nice ???.,33
661,662,Flipkart Customer,0,0,Terrific purchase,1,Good.,9
1322,1323,Shaik Baba,1,3,Don't waste your money,0,Not good.,16
1223,1224,Sanjib  Dey,0,0,Super!,1,So very nice mobile.,33
497,498,Rahul,0,0,Worth the money,1,Value for money.,26
1236,1237,Madan K,0,0,Really Nice,0,Product is good but ittem is not with secure packaging..,87
1283,1284,RAMANAND YADAV,0,0,Best in the market!,1,Nice.,9
452,453,Mahipal Kori,0,0,Worth the money,1,A gud phone and I am happy with this phone.,74
486,487,Yoga  Shree,0,0,Mind-blowing purchase,1,Good.,9
810,811,Ankit  Yadav,1,0,Just wow!,1,???? best product. Value for money.,54
1188,1189,Nandan raj  srivastav,0,0,Awesome,1,Nice.,9
1304,1305,Vikas Bairagi,0,0,Highly recommended,1,Good.,9
59,60,Flipkart Customer,1,0,Worth the money,1,looking betterawsm phone battary backup is ok some heating absorbed dont worry it will cool faster.,148
114,115,Flipkart Customer,2,0,Very Good,1,Battery will drain easily and touch and all good and camera is same Iike iPhone or better than that as I used.,177
1066,1067,Ishwar Bag,0,0,Super!,1,Amazing  camera ??????????.,36
1398,1399,Santosh Jha,0,0,Simply awesome,1,Good.,9
214,215,Subhra Sarkar,14,8,Nice,1,It was good but battery drain very fast.,65
1068,1069,Flipkart Customer,0,0,Wonderful,1,Best produced.,21
956,957,Lokesh kumar Pandey,0,0,Best in the market!,1,Nice. But service close in India..,53
541,542,Suresh  Nani,0,0,Wonderful,1,Feel good.,17
90,91,Flipkart Customer,1,0,Worth every penny,1,It's an awesome cell phone which gives an amazing experience..,93
320,321,Anjali Wankhede,1,2,Does the job,1,"COMPLETELY GENUINE REVIEW AFTER 1 MONTH OF USEPros:The OnePlus 11R camera is decent at this price range! It has a good OS, much more customizable!Superfast Charging! (20 to 80% within 30 minutes)Cons:Superfast Charging is great but equally there is a disadvantage: it's fast battery draining!(Runs only a day)Heats more than warm while photography or shooting even at standard/default settings!It has not up to the mark performance comparable to this price range though it has Snapdrag....",715
150,151,Flipkart Customer,11,0,Value-for-money,1,"Good mobile Mostly female section has to be loved this mobile and also people who mostly work by using mobile . display is looking awesome when watching videos in utube and also gaming getting 5g network properly  @,2;.",333
1243,1244,Ashish Maurya,0,0,Super!,1,Camera wow.,18
402,403,Syed Abid,0,0,Highly recommended,1,Flipkart and very nice good service.,55
461,462,Kanakaratnam  Vempati ,0,0,Delightful,1,Overall good phone all-rounder.,44
261,262,Shiva Shankar,1,0,Worth every penny,1,It is fantastic mobile with it's performance and camera and the software and refresh rate is smooth. Overall a flawless mobile.,191
1271,1272,Flipkart Customer,0,0,Not good,0,I have been used this mobile since 2 months.It has heating problem and battery drain quicklyAnd the software system is very bad.Even though customer service didn't help me about us ..,277
834,835,Poulami Jana,1,0,Wonderful,1,Nice phone.,18
918,919,Flipkart Customer,1,4,Expected a better product,0,this product battery problem.This phone waste of money.Battery not working.,106
205,206,Srikanth Chepur,2,0,Perfect product!,1,Go blindly for this mobile everything good as expected more than.,99
1199,1200,Vivek  Chauhan,0,0,Classy product,1,Very nice 1+ phone.,32
397,398,Indresh  SL,0,0,Just wow!,1,Value for Money and performance is good..,63
748,749,Milan  Das,2,0,Classy product,1,Mobile is very good ??But battery ?? is drin justBut havy gaming phoneDesign is good back side.,147
986,987,Saharul  Molla,0,0,Terrific purchase,1,I am very happy ????????.,41
768,769,sujoy biswas,2,1,Very Good,1,Good product but hit issues.,44
935,936,Vivek Thakur,0,0,Terrific purchase,1,Superb.,11
1170,1171,attitude boy,0,0,Mind-blowing purchase,1,Nice product.,20
355,356,Sandeep Kumar,2,4,Useless product,0,Total useless product.,32
1154,1155,Prasenjit  Sen,0,0,Nice,1,Everything is good. But the battery drains very fast and Heating very much while gaming.,134
774,775,Prince  Dhami,1,0,Wonderful,1,Phone is good but battery backup is ok ??.,70
898,899,Asik  Iqbal ,0,0,Nice,1,Battery drain very first and heating problem.,67
832,833,Edupalli Radha,1,0,Great product,1,Product is very goodWorth for money.,55
1048,1049,Sohel  Bhande,0,0,Perfect product!,1,Very nice phon.,25
1040,1041,Vignesh  I,0,0,Really Nice,1,Ya nice one.,22
976,977,Dipesh kumar,0,0,Worth every penny,1,Thanks Flipkart.,23
1410,1411,Flipkart Customer,0,0,Super!,1,Perfect Result I like it.,41
921,922,Prasanth Kumar R,0,0,Nice,1,Good product.,20
849,850,Vikas Kumar,1,0,Brilliant,1,Phenomenal.,15
1337,1338,Darshan P G,0,0,Terrific purchase,1,The Phone is absolutely a MasterpieceThe One Problem is Heating issue But Still We have a Hope on OnePlus.,164
255,256,Flipkart Customer,0,0,Very Good,1,"Phone is really good, but if you are looking for a camera oriented phone then it's not made for that.All and all performance is top knotch and design is premium..",253
651,652,K SRIKANTH,16,24,Waste of money! BATTERY LIFE IS VERY WORST.....,0,BATTERY DRAINING VERY MUCH FAST ON NORMAL USAGE. COMPLAINT RAISED WITH FLIPKART THEY REJECTED TWICE. DONT GO WITH ONEPLUS NAME THEY ARE FOOLING PEOPLE WITH THIS TYPE OF MOBILE PHONES.  8 GEN 1 PROCESSOR NO LONGER GOOD. PLEASE GUYS DONT BUY THIS PHONE IF YOU WANT BATTERY LIFE..,421
194,195,Subho  Dey,5,2,Terrific,1,It's a fabulous  product  1 plus..,51
785,786,Pearson Shiveilu,1,0,Pretty good,1,Still observing..,24
587,588,Flipkart Customer,0,0,Brilliant,1,Value for money 💰 good looking superb procedure.,73
1348,1349,mr. Montoo,0,0,Wonderful,1,One' plus better than any  Android phone  1st ??.,75
812,813,Subham Mouri,1,0,Simply awesome,1,Love OnePlus ??.,26
11,12,Thiyagu Yadav,26,8,Just okay,1,Battery very worst.,29
286,287,WRATH LUCIFER,1,0,Wonderful,1,Super keka wonderful 😘😘😘😘😘.,40
304,305,Debangshu Das,2,1,Worth every penny,1,Worthy.,11
331,332,prasanth teneti,0,0,Worth every penny,1,Good lo very good.,31
741,742,Nandu  K,2,0,Really Nice,1,Good product.,20
1331,1332,Vishal Patel,0,0,Terrific,1,?????????????? supar.,28
844,845,Flipkart Customer,1,0,Classy product,1,This phone is very good ??.,46
974,975,Noble  alam,0,0,Simply awesome,1,Fantastic ??.,20
667,668,Sudarshan Sethy,148,34,Value-for-money,1,Very good ????.,25
891,892,Sabir Ansari Ansari,121,35,Absolute rubbish!,0,Battery performance is verypoorHighest screen time is 5 hours on normal usesDon't waste your money on this mobile because bettery back-up is very bad ????.,231
560,561,Varsha  Salve ,0,0,Simply awesome,1,Awsome.,11
621,622,Santu Maity,0,0,Does the job,1,All good but battery supply very bad.average.,67
641,642,Pushpa  Malladi,0,0,Simply awesome,1,Very very nice phone.,34
581,582,sonia  manocha ,0,0,Wonderful,1,Excellent product. I am very impressed.,58
894,895,Md Jauhar Imam,0,0,Absolute rubbish!,0,Bad product for phone.,35
100,101,Saikat Tikadar,26,13,Simply awesome,1,"Pros:-1.Very Vibrant Amoled Display, just like Apple. 1400nits display is enough for daylight.2. Camera is just Awesome and Innovative. 12MP camera is super useful and takes beautiful potraits just like apple iphone.3.Gives you Premium Feel in hand on this price range.4.Outstanding Display with Gorilla Glass 5 Protection on both sides5.Battery can last upto 1day in moderate use.6.Switching between apps is super easy and without any lags.6.Bluetooth , wifi connectivity  is very fast.C....",708
130,131,Yalla Peddiraju,0,0,Decent product,1,Battery 🔋 bad.,24
71,72,SANJAY  Shukla,2,1,Must buy!,1,best hai.,16
854,855,Ravi Ghaaru,1,0,Classy product,1,Overall very good but camera is slightly low quality.,81
1070,1071,Md Mahbub  Alam,0,0,Highly recommended,1,Nice.,9
507,508,Shahjad Khan,0,0,Simply awesome,1,Very good.,17
727,728,Shiv pratap singh,8,3,Just wow!,1,Awesome product.,23
1351,1352,Prajwal  Srinivas,0,0,Wonderful,1,"It's a classic OnePlus Marvel, everything is awesome for the price we pay. Great performance, really good camera and sensor, super fast charging, 1.5k resolution display is top notch, the only issue I had was with the UI, it's not as smooth as my OnePlus 6T, it has some glitches and some unnecessary changes..",473
1285,1286,Aman  Pathak,0,0,Moderate,0,"Look is old..battery ?? performance is very bad, camera is bad.",97
1012,1013,Jignesh  kharwa,3,0,Useless product,0,Battery drains like hell..Do not buy this product.. Everything seems to be ok but battery ..got to charge 3 times a day.,187
415,416,Hemanta  Dash,0,0,Expected a better product,0,Better not brack of.,33
899,900,Vikash Yadav,0,0,Worth every penny,1,Nice.,9
164,165,Kanha Lenka,31,15,Pretty good,1,Camera quality is awesome  but the selifi camera is not good performerd.,108
291,292,Rahim Ansari,1,0,Good choice,1,OnePlus 11r 5g bast mobile.,43
81,82,Sanjeev Kumar,1,0,Brilliant,1,Perfect means perfect...,34
1013,1014,Flipkart Customer,0,1,Perfect product!,1,Super.,10
193,194,raja G,10,7,Terrific purchase,1,Excellent mobilePerformance 5/5Design 5/5Camera 4.5/5Battery 5/5Totally best mobile.,109
848,849,Bhawan Negi,1,0,Simply awesome,1,All good but battery' low.,42
158,159,Akhand Pratap Singh,21,4,Worth every penny,1,Camera is excellent...,32
1031,1032,MD NAJMUL HAQUE,0,0,Does the job,1,Happy.,10
485,486,Flipkart Customer,0,0,Just okay,1,One plus product is very good..nice battery life and good performance......,109
112,113,Moyal Rana,2,0,Did not meet expectations,0,I am facing heating issue too much.,57
1249,1250,Flipkart B K Singh,0,0,Good quality product,1,Product is good but it was delivered late.,67
263,264,ARUN  MAHATO,1,0,Very Good,1,"Osm product, value for money 🤑.",50
1266,1267,JOHNSON RAJESH,0,0,Nice,1,Everything is good except battery. Not even last for one day.,95
620,621,Ashu Dixit,0,0,Brilliant,1,Awesome phone I like it.,40
1123,1124,Flipkart Customer,0,0,Worth every penny,1,Good performance.,24
685,686,Subhraprakash Santra,16,3,Delightful,1,1.Camera is good.2. Battery gives 5 to 6 hr in multitasking. 3.Display quality is awesome. 4.Duel speaker Sound is wonderful.5.Performance gives you max level in dimensity 9000 . You can play any game like makhhan . Gives 90 fps in pubg but 90 fps is not optimized . 60 fps is more than enough in gaming compare to other device in this range . 6.??One more important thing . If you are worried about heating issue . Trust me it doesn't heats up in Normal use even in normal gaming also .I....,769
134,135,Ilaya Perumal,8,2,Good quality product,1,Nice ...💥 but price range is high level...🫥 heating issues irukku...😬.,104
713,714,Kiran  Das ,3,0,Brilliant,1,OnePlus Nord 3 5g - all over very good parfromens..,82
765,766,sudhiranjan dash,2,0,Good,1,Mobile is good but battery backup is very poor.,75
815,816,Somveer  Yogi,0,0,Excellent,1,"It's nice...camera quality very good, performance is good.",83
1168,1169,manoj yadav,0,0,Worst experience ever!,0,Battery not good.,27
529,530,Subhadeep Dey,0,0,Must buy!,1,Very good phone on this price segment.,60
1373,1374,Bingi Aravind,0,0,Perfect product!,1,Very nice and good mobile iam fully satisfied thank u flipy.,94
84,85,Arif Khan,1,0,Highly recommended,1,Samsung S23 FE best mobile but heating and battery drone.,88
880,881,Rajasekaran Selvam,1,0,Decent product,1,So much disappointed with battery performance.,65
153,154,Flipkart Customer,62,18,Just okay,1,Phone is good and their charging is very fast and phone is heavy but good.,120
999,1000,MANISH TRIPATHI,0,0,Simply awesome,1,Very good product.,28
78,79,Neeha Roy,1,0,Fabulous!,1,Nice product.,20
13,14,Saikat Tikadar,26,13,Simply awesome,1,"Pros:-1.Very Vibrant Amoled Display, just like Apple. 1400nits display is enough for daylight.2. Camera is just Awesome and Innovative. 12MP camera is super useful and takes beautiful potraits just like apple iphone.3.Gives you Premium Feel in hand on this price range.4.Outstanding Display with Gorilla Glass 5 Protection on both sides5.Battery can last upto 1day in moderate use.6.Switching between apps is super easy and without any lags.6.Bluetooth , wifi connectivity  is very fast.C....",708
1387,1388,Sampath Kumar,0,0,Classy product,1,Nice....,12
767,768,Flipkart Customer,2,0,Fair,1,"After 3 months of use, I am facing a lagging problem when I play the PUBG in a good network.. very worst  experience with this phone waste of money... The camera and battery is good..",288
234,235,Anil Rana,1,0,Highly recommended,1,Great phn best camera Quality.,46
487,488,Ritik  DUBEY,0,0,Terrific purchase,1,"Overall great phone , it is not a proper gaming phone but day to day task handle smoothly.. 🙂.",152
1272,1273,Rajneesh Kumar,0,0,Best in the market!,1,Super phone.,19
1212,1213,MOHAMMAD FAIZ,0,0,Value-for-money,1,Everything is good but only battery is not ??.,74
480,481,Flipkart Customer,0,0,Brilliant,1,Good product happy coustomer.,42
468,469,Puja Paul,0,0,Best in the market!,1,Good.,9
358,359,Pola jayaranga Pola,0,0,Excellent,1,Aswam working.,21
186,187,KANNCHAN DEBNATH,3,0,Highly recommended,1,Smooth control system and camera quality best....,71
882,883,Dharmendra Ahirwar,1,0,Fair,1,As per my experience Average phone. Not bad but also not good. Battery ?? drain with high speed. Charge only in 40 minutes. Camera quality good..,224
527,528,Pindu Singh,0,0,Utterly Disappointed,0,"Fone battery was good before update after update u even didn't use fone battery drop! forcefully I use 4g not 5g ,always on display consume battery ,ui buggyOnly  good in this fone is fast charging 100 watt.",318
441,442,Sonu Hasni,0,0,Classy product,1,Awesome.,12
705,706,Mohanapriya  R,7,1,Great product,1,Really very happy with this purchase. First time I'm upgrade my mobile on oneplus. Nord 3 is just Awesome ??. Congrats oneplus team and Flipkart ????.,229
1378,1379,Vishal Vavadiya,0,0,Very Good,1,Very nice result of camera and battery...Performance is also good....,100
105,106,Dipak Dhenge,1,1,Best in the market!,1,Very good product..,29
420,421,Prasad Bhosale,0,0,Brilliant,1,It's good.,17
985,986,Sasi Dhar ,0,0,Nice product,1,"It has two issues, one is heating on normal use which got resolved after an update and the second is battery draining I hope they can resolve this with further updates. Apart from those two remaining things are perfect especially the display and sound department with a pretty decent camera.Go and get yourself one if the price is under 25k. Love the alert slider ??.",563
909,910,Sumit Goyal ,0,0,Value-for-money,1,"Please extend battery life , running only 4-5 hours once fully charged.",108
56,57,Prasanta Sethi,5,3,Excellent,1,It's camera phone.,28
968,969,Adhikari Manas,0,0,Mind-blowing purchase,1,Best In The Price....,34
694,695,Rinky Sharma,7,0,Nice,1,This phone has very good performance.,56
45,46,Murali Mandan,4,1,Nice product,1,Just wow.,16
1117,1118,sonu  kumar,0,0,Good quality product,1,Good.,9
617,618,Aniket Kadam,0,0,Good choice,1,Overall product is good. But camera performance is average. In this price range is expected better..,149
496,497,Jakeer N,0,0,Super!,1,Nice.,9
837,838,Chandan Sarkar,1,0,Just wow!,1,All good. But Battery Drain problem..,56
247,248,Isak Malsawmzuala,1,0,Worth the money,1,"Everything is perfect untill i used for 4 months,i face the system ui isn't responding alot and it just turn off while doing things,other that that it was good.",248
605,606,Sovan Mondal,0,0,Best in the market!,1,Nice product 😊.,25
356,357,Flipkart Customer,0,0,Must buy!,1,Osm ❤️.,14
26,27,Flipkart Customer,44,10,Could be way better,0,"Battery is the worst ,u' ll have to charge twice everyday even for normal use. And heats alot. Please dont buy this phone..",193
361,362,Raman Kumar,0,0,Simply awesome,1,Good.,9
1290,1291,Mahesh Sahu,0,0,Good,1,Good mobile in range.,34
712,713,Flipkart Customer,3,0,Wonderful,1,"Battery is good.SOT upto 7 hours with normal use.camera, display, performance is also good.If you get it around 20-25k it's the best on segment.none can beat it........",250
901,902,Flipkart Customer,0,0,Good choice,1,Nice camra thank you Flipkart.,46
273,274,Sek Mujahid,0,0,Perfect product!,1,Nice camera and performance.,41
1197,1198,Vishal Sharma,0,0,Terrific purchase,1,Value for money.,26
1022,1023,Dr Arindam Samui,0,0,Fabulous!,1,Superb Processor.,24
770,771,Antim kumar  Saroj,2,1,Pretty good,1,Nice mobile...,21
851,852,Birendra Kumar,0,0,Classy product,1,Awesome phone made by OnePlus..,47
1356,1357,Shivam Rajbhar,2,1,Expected a better product,0,Eit is very bad phone eit to good iqoo Neo 7 one plus Nord 3 over heating problem and hange problem eit to bad phone I am so sad please do not bay.,247
306,307,Azeem AH Bashir Ahmed ,0,1,Awesome,1,Love you one plus.,31
180,181,Sonu Sharma,3,0,Excellent,1,"Phenomenal product. If u're stepping into OnePlus, go for it.If u're new in it...just be proud to have the best screens and processor out there..",221
1291,1292,Flipkart Customer,0,0,Classy product,1,Bery good.,17
567,568,Sajju  Choudhary ,0,0,Terrific,1,Nice.,9
1101,1102,Kumar Gaurav,0,0,Perfect product!,1,Great product at this price.,44
769,770,Surendra Bhat,1,1,Very Good,1,Design feels premiumDisplay is very goodBattery lasts more than 14 hours for moderate userPerformance is smoothCamera wil take good pictures but after taking photo in the gallery AI will change some of the real tone of the image 4.5/5.,353
690,691,Brave Balaji,6,0,Good quality product,1,Camera is awesome and battery drained bit faster and when playing game mobile heating is 42degreeToo hot.,157
887,888,Flipkart Customer,1,1,Does the job,1,Value for money.,26
1179,1180,Sandeep  Kumar ,0,0,Good,1,Processor is goodAnd cameras are excellentAnd bettery is not goodAll phone are good but bettery are poor.,157
1146,1147,Flipkart Customer,3,2,Very poor,0,The is worst and the service of Flipkart is very bad.,87
457,458,Atul Rana,0,0,Just wow!,1,Good 👍.,14
619,620,Aryan Raj,0,0,Classy product,1,I loved it  what amazing phone.,49
98,99,Ravi K A,1,0,Worth every penny,1,Expect battery all are good.,44
964,965,Flipkart Customer,0,0,Just wow!,1,Best.,9
570,571,Prachi Mitra,0,0,Pretty good,1,The phone is good camera is also good but the battery is not as much long lasting..,135
1024,1025,Twarit Gupta,0,1,Don't waste your money,0,You can buy only for b.,42
453,454,Karan Devipujak,0,0,Good choice,1,Nice and super mobile.,35
516,517,Rahul Kejriwal,0,0,Excellent,1,I upgraded from one plus 7t. This phone is better in every department from one plus 7t other than camera and built quality.  One plus 7t  had metal borders and glass back whereas this is plastic body.  Even the camera of one plus 7t was way way better than 11r.  If you need good camera with good built go for ONE PLUS 11. Else 11r is super smooth and super fast..,574
743,744,Flipkart Customer,2,0,Great product,1,All is good ?? But battery ?? drain very fast.,77
17,18,Ankesh  Lonare ,3,0,Good quality product,1,"The phone is fully functional and meets all expectations. I'm fully satisfied with it, especially the night photography. 📸✨ However, there's a heating issue that I think is due to the Exynos processor. One suggestion: If you're planning to get an S23 FE, I'd recommend waiting a few months for the Snapdragon version. It'll be worth the wait!.",518
574,575,Vikas  kumar,0,1,Nice,1,Nice phone.,18
1265,1266,Yogesh  Malap ,0,0,Fair,1,Good.,9
1260,1261,Flipkart Customer,0,0,Classy product,1,Just osam.,17
945,946,Naveen Kumar,0,0,Just okay,1,Mobile is ok but battery issue.,50
198,199,elangovan R,2,0,Good choice,1,Nice phone with some heating issues sometimes... battery performance could have been better....,135
1158,1159,Mahesh Thakor,0,0,Awesome,1,Amazing phone ??EAD MORE,37
973,974,wel langneh,0,0,Worth every penny,1,Good.,9
689,690,aman raj,35,10,Simply awesome,1,Worth of money .Camera need to improve in this price segment .Picture quality in day is awesome but in night not too good.Specifications of the phone is awesome.Phone works very smoothly..,282
6,7,Vinay  Vishwakarma ,12,1,Simply awesome,1,Camera is awesome 👌 loved it ❤️ If you want to buy for camera don't hesitate Design is mind blowing 🤯.,166
37,38,Flipkart Customer,2,0,Just wow!,1,"The is very good and finest quality... as i was not expecting that... but got the best one,...",149
563,564,Ashok  Balam,0,0,Value-for-money,1,Suberb.,11
344,345,Flipkart Customer,0,0,Simply awesome,1,Nice phone 🙂🙂👍👍.,26
521,522,Naveen Kumar K S,0,0,Awesome,1,Superb Phone.,20
636,637,NAVAKANTA SHILL,0,0,Good choice,1,"Awesome 👍 best camera,best parformance, display great, Dolby Atmos superb.",105
911,912,Harish Krishan,1,4,Slightly disappointed,0,Battery issue charging for drying fast not bye thus phone vgggyy yyyyy.,108
528,529,Shivam  Choudhary ,0,0,Value-for-money,1,Best phone 👍💯💯❤️.,27
